Elapsed_Time_s,Timestamp,T1_C,T2_C,Skew_ms,Delta_T_C
50.579,2026-03-06T12:08:21.954439,-9.4297,-9.2188,0.855,-0.2109
50.821,2026-03-06T12:08:22.196500,-9.4297,-9.2109,0.854,-0.2188
51.044,2026-03-06T12:08:22.419992,-9.4219,-9.2109,0.854,-0.2109
51.281,2026-03-06T12:08:22.656609,-9.4297,-9.2109,0.885,-0.2188
51.520,2026-03-06T12:08:22.895211,-9.4219,-9.2109,0.854,-0.2109
51.766,2026-03-06T12:08:23.141449,-9.4219,-9.2109,0.854,-0.2109
52.003,2026-03-06T12:08:23.378850,-9.4297,-9.2109,0.854,-0.2188
52.228,2026-03-06T12:08:23.603432,-9.4297,-9.2109,1.007,-0.2188
52.467,2026-03-06T12:08:23.842976,-9.4297,-9.2109,0.854,-0.2188
52.704,2026-03-06T12:08:24.079205,-9.4219,-9.2188,0.885,-0.2031
52.941,2026-03-06T12:08:24.316358,-9.4297,-9.2109,0.854,-0.2188
53.183,2026-03-06T12:08:24.558280,-9.4297,-9.2188,0.854,-0.2109
53.422,2026-03-06T12:08:24.797357,-9.4297,-9.2109,0.854,-0.2188
53.649,2026-03-06T12:08:25.024386,-9.4297,-9.2109,0.854,-0.2188
53.888,2026-03-06T12:08:25.263969,-9.4297,-9.2031,0.854,-0.2266
54.126,2026-03-06T12:08:25.501523,-9.4297,-9.2109,0.854,-0.2188
54.367,2026-03-06T12:08:25.742991,-9.4297,-9.2109,0.854,-0.2188
54.592,2026-03-06T12:08:25.967786,-9.4219,-9.2109,0.854,-0.2109
54.834,2026-03-06T12:08:26.209233,-9.4219,-9.2031,0.855,-0.2188
55.077,2026-03-06T12:08:26.452699,-9.4219,-9.2109,0.855,-0.2109
55.323,2026-03-06T12:08:26.698356,-9.4219,-9.2109,0.854,-0.2109
55.552,2026-03-06T12:08:26.928061,-9.4219,-9.2031,0.855,-0.2188
55.775,2026-03-06T12:08:27.150265,-9.4219,-9.2031,0.824,-0.2188
56.018,2026-03-06T12:08:27.393605,-9.4297,-9.2031,0.854,-0.2266
56.260,2026-03-06T12:08:27.635582,-9.4219,-9.2031,0.854,-0.2188
56.497,2026-03-06T12:08:27.872961,-9.4219,-9.2109,0.854,-0.2109
56.735,2026-03-06T12:08:28.110199,-9.4219,-9.2109,0.824,-0.2109
56.955,2026-03-06T12:08:28.330266,-9.4219,-9.2031,0.855,-0.2188
